date,day_name,month,season_factor,weekend,occupancy_level,outdoor_temp_c,rainfall_mm,saving_mode,total_usage_kwh,peak_usage_kwh,peak_hour_label,peak_window,average_hourly_kwh,daily_cost_rs,monthly_predicted_bill_rs,future_bill_prediction_rs,tomorrow_usage_prediction_kwh,previous_day_usage_kwh,weekly_average_kwh,usage_change_kwh,usage_change_direction,usage_change_reason,energy_score,eco_score,carbon_impact_kg,carbon_saved_kg,pet_status,pet_meter_pct,pet_message,pet_alert,streak_days,reward_badge,alert_count,recommendation_count,alerts_pipe,recommendations_pipe,personalized_tip_1,personalized_tip_2,personalized_tip_3,hour_00_kwh,hour_01_kwh,hour_02_kwh,hour_03_kwh,hour_04_kwh,hour_05_kwh,hour_06_kwh,hour_07_kwh,hour_08_kwh,hour_09_kwh,hour_10_kwh,hour_11_kwh,hour_12_kwh,hour_13_kwh,hour_14_kwh,hour_15_kwh,hour_16_kwh,hour_17_kwh,hour_18_kwh,hour_19_kwh,hour_20_kwh,hour_21_kwh,hour_22_kwh,hour_23_kwh,ac_power_w,ac_hours,ac_age_years,ac_condition,ac_maintenance,ac_energy_kwh,ac_cost_rs,ac_share_pct,ac_faulty,ac_limit_kwh,fan_power_w,fan_hours,fan_age_years,fan_condition,fan_maintenance,fan_energy_kwh,fan_cost_rs,fan_share_pct,fan_faulty,fan_limit_kwh,iron_power_w,iron_hours,iron_age_years,iron_condition,iron_maintenance,iron_energy_kwh,iron_cost_rs,iron_share_pct,iron_faulty,iron_limit_kwh,tv_power_w,tv_hours,tv_age_years,tv_condition,tv_maintenance,tv_energy_kwh,tv_cost_rs,tv_share_pct,tv_faulty,tv_limit_kwh
2026-01-11,Sunday,January,0.914,1,high,22.8,2.8,0,20.0,1.51,7 PM,6 PM-8 PM,0.83,120.0,3600.0,3605.29,20.04,20.12,17.96,-0.12,decreased,AC health issue increased consumption,64,60,16.4,0.1,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.3,0.17,0.19,0.21,0.21,0.4,0.69,0.98,0.95,0.58,0.62,0.66,0.67,0.66,0.58,0.7,0.77,0.93,1.31,1.51,1.31,0.97,0.72,0.51,1572,7.3,4,good,yes,11.48,68.88,74.3,1,9.0,108,12.5,3,good,yes,1.35,8.1,8.7,0,1.6,1249,1.4,5,good,yes,1.75,10.5,11.3,0,2.2,134,6.6,4,good,yes,0.88,5.28,5.7,0,1.1
2026-01-12,Monday,January,0.917,0,high,24.5,1.3,0,19.82,1.53,7 PM,6 PM-8 PM,0.83,118.92,3567.6,3838.27,19.87,20.0,18.19,-0.18,decreased,AC health issue increased consumption,65,61,16.25,0.15,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,5,4,sudden_spike|pet_suffering|ac_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.25,0.19,0.19,0.22,0.22,0.36,0.74,0.96,0.89,0.63,0.55,0.6,0.71,0.65,0.62,0.6,0.81,0.98,1.37,1.53,1.26,0.98,0.71,0.45,1510,7.2,4,good,yes,10.87,65.22,71.5,1,9.0,102,12.3,3,good,yes,1.25,7.5,8.2,0,1.6,1274,2.1,5,good,yes,2.68,16.08,17.6,1,2.2,89,4.6,4,slow,no,0.41,2.46,2.7,1,1.1
2026-01-13,Tuesday,January,0.919,0,medium,30.4,4.9,0,18.85,1.42,7 PM,6 PM-8 PM,0.79,113.1,3393.0,3319.46,19.14,19.82,18.13,-0.97,decreased,AC health issue increased consumption,68,65,15.46,0.8,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.24,0.21,0.14,0.15,0.26,0.31,0.64,0.97,0.9,0.59,0.61,0.58,0.75,0.63,0.64,0.62,0.77,0.91,1.37,1.42,1.24,0.96,0.62,0.36,1483,7.0,4,noise,no,10.38,62.28,77.1,1,9.0,116,12.6,3,good,yes,1.46,8.76,10.8,0,1.6,1175,1.0,5,good,yes,1.18,7.08,8.8,0,2.2,114,3.9,4,good,yes,0.44,2.64,3.3,0,1.1
2026-01-14,Wednesday,January,0.922,0,low,29.2,0,0,20.75,1.43,7 PM,6 PM-8 PM,0.86,124.5,3735.0,3845.9,20.18,18.85,18.81,1.9,increased,AC health issue increased consumption,61,55,17.02,0,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.27,0.27,0.21,0.24,0.23,0.43,0.66,1.03,0.98,0.61,0.62,0.61,0.75,0.71,0.66,0.66,0.72,1.0,1.37,1.43,1.35,0.88,0.7,0.45,1530,9.0,4,good,yes,13.77,82.62,77.6,1,9.0,112,12.7,3,good,yes,1.42,8.52,8.0,0,1.6,1307,1.2,5,good,yes,1.57,9.42,8.8,0,2.2,177,5.6,4,good,yes,0.99,5.94,5.6,0,1.1
2026-01-15,Thursday,January,0.925,0,low,29.5,2.2,0,19.67,1.5,7 PM,6 PM-8 PM,0.82,118.02,3540.6,3656.02,19.99,20.75,19.27,-1.08,decreased,AC health issue increased consumption,65,62,16.13,0.89,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,3,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.23,0.22,0.23,0.2,0.27,0.36,0.7,1.0,0.94,0.63,0.57,0.61,0.74,0.72,0.64,0.66,0.74,0.97,1.34,1.5,1.3,0.94,0.74,0.45,1424,6.7,4,good,yes,9.54,57.24,70.6,1,9.0,172,11.5,3,good,yes,1.98,11.88,14.7,1,1.6,1214,1.0,5,good,yes,1.21,7.26,9.0,0,2.2,128,6.1,4,good,yes,0.78,4.68,5.8,0,1.1
2026-01-16,Friday,January,0.928,0,high,25.2,0.8,1,16.63,1.34,7 PM,6 PM-8 PM,0.69,99.78,2993.4,2945.12,17.54,19.67,19.41,-3.04,decreased,AC health issue increased consumption,76,75,13.64,2.49,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,6,5,sudden_spike|pet_suffering|ac_fault|iron_fault|tv_fault|phantom_load_tv,replace_ac_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,TV standby may be wasting power,0.14,0.14,0.14,0.14,0.14,0.19,0.54,0.89,0.84,0.49,0.42,0.43,0.54,0.48,0.43,0.44,0.62,0.81,1.25,1.34,1.2,0.74,0.6,0.29,1423,8.0,4,good,yes,11.38,68.28,73.9,1,9.0,107,11.8,3,good,yes,1.26,7.56,8.2,0,1.6,1184,2.2,5,good,yes,2.6,15.6,16.9,1,2.2,36,4.5,4,standby,no,0.16,0.96,1.0,1,1.1
2026-01-17,Saturday,January,0.931,1,medium,30.7,0.8,1,16.48,1.28,7 PM,6 PM-8 PM,0.69,98.88,2966.4,3278.9,16.52,16.63,18.89,-0.15,decreased,AC health issue increased consumption,77,73,13.51,0.12,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,4,4,sudden_spike|pet_suffering|ac_fault|iron_fault,replace_ac_efficient_model|replace_iron_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.21,0.59,0.93,0.76,0.51,0.46,0.51,0.63,0.48,0.44,0.52,0.58,0.81,1.15,1.28,1.17,0.8,0.53,0.26,1600,7.2,4,good,yes,11.52,69.12,80.2,1,9.0,13,12.7,3,good,yes,0.17,1.02,1.2,0,1.6,1280,1.8,5,good,yes,2.3,13.8,16.0,1,2.2,70,5.4,4,good,yes,0.38,2.28,2.6,0,1.1
2026-01-18,Sunday,January,0.933,1,low,29.4,1.7,1,17.39,1.35,7 PM,6 PM-8 PM,0.72,104.34,3130.2,3057.38,17.12,16.48,18.51,0.91,increased,AC health issue increased consumption,73,68,14.26,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,4,4,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.22,0.53,0.86,0.76,0.5,0.44,0.5,0.62,0.55,0.49,0.45,0.59,0.87,1.24,1.35,1.13,0.82,0.6,0.31,1615,8.4,4,good,yes,13.57,81.42,77.4,1,9.0,161,12.1,3,good,yes,1.95,11.7,11.1,1,1.6,1269,1.4,5,good,yes,1.78,10.68,10.1,0,2.2,43,5.5,4,good,yes,0.24,1.44,1.4,0,1.1
2026-01-19,Monday,January,0.936,0,medium,26.8,3.5,0,19.82,1.53,7 PM,6 PM-8 PM,0.83,118.92,3567.6,3833.94,19.09,17.39,18.51,2.43,increased,AC health issue increased consumption,65,59,16.25,0,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Recovery Mode,4,3,sudden_spike|pet_suffering|ac_fault|tv_fault,replace_ac_efficient_model|replace_tv_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.27,0.2,0.17,0.14,0.2,0.41,0.67,1.01,0.98,0.64,0.58,0.61,0.67,0.64,0.64,0.65,0.79,0.95,1.34,1.53,1.31,0.95,0.65,0.49,1575,8.6,4,good,yes,13.54,81.24,89.4,1,9.0,74,12.4,3,good,yes,0.92,5.52,6.1,0,1.6,1143,0.4,5,good,yes,0.46,2.76,3.0,0,2.2,49,4.7,4,good,no,0.23,1.38,1.5,1,1.1
2026-01-20,Tuesday,January,0.939,0,medium,27.0,4.2,1,17.03,1.28,7 PM,6 PM-8 PM,0.71,102.18,3065.4,3268.3,17.87,19.82,18.25,-2.79,decreased,AC health issue increased consumption,75,74,13.96,2.29,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,4,4,sudden_spike|pet_suffering|ac_fault|fan_fault,replace_ac_efficient_model|replace_fan_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.2,0.57,0.89,0.74,0.5,0.41,0.51,0.55,0.53,0.42,0.45,0.61,0.88,1.18,1.28,1.17,0.75,0.54,0.28,1536,8.9,4,good,yes,13.67,82.02,77.7,1,9.0,173,11.5,3,good,yes,1.99,11.94,11.3,1,1.6,1318,0.9,5,good,yes,1.19,7.14,6.8,0,2.2,141,5.3,4,good,yes,0.75,4.5,4.3,0,1.1
2026-01-21,Wednesday,January,0.942,0,high,26.9,4.9,1,16.56,1.38,7 PM,6 PM-8 PM,0.69,99.36,2980.8,3292.44,16.7,17.03,17.65,-0.47,decreased,AC health issue increased consumption,76,72,13.58,0.39,sick,94,High usage detected!,Your pet is suffering because heavy usage or a faulty appliance is stressing the home.,0,Steady Guardian,5,5,sudden_spike|pet_suffering|ac_fault|iron_fault|tv_fault,replace_ac_efficient_model|replace_iron_efficient_model|replace_tv_efficient_model|saving_mode_optimizations|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,Saving mode is active. Prioritize fans over AC and switch off standby loads.,Your appliance mix is stable today.,0.14,0.14,0.14,0.14,0.14,0.25,0.47,0.81,0.81,0.53,0.37,0.49,0.53,0.51,0.44,0.43,0.58,0.85,1.19,1.38,1.18,0.82,0.53,0.28,1578,6.7,4,good,yes,10.57,63.42,68.3,1,9.0,68,13.5,3,good,yes,0.92,5.52,5.9,0,1.6,1231,2.3,5,good,yes,2.83,16.98,18.3,1,2.2,200,5.8,4,good,yes,1.16,6.96,7.5,1,1.1
2026-01-22,Thursday,January,0.945,0,medium,23.4,0,0,20.29,1.52,7 PM,6 PM-8 PM,0.85,121.74,3652.2,4077.58,19.17,16.56,17.74,3.73,increased,AC health issue increased consumption,63,55,16.64,0,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.25,0.22,0.18,0.19,0.28,0.35,0.68,1.06,0.94,0.68,0.61,0.66,0.71,0.71,0.64,0.69,0.84,1.02,1.35,1.52,1.31,1.02,0.79,0.44,1528,8.3,4,good,yes,12.68,76.08,88.5,1,9.0,72,11.5,3,good,yes,0.83,4.98,5.8,0,1.6,1243,0.2,5,good,yes,0.25,1.5,1.7,0,2.2,111,5.0,4,good,yes,0.56,3.36,3.9,0,1.1
2026-01-23,Friday,January,0.948,0,high,27.6,1.5,0,20.17,1.47,7 PM,6 PM-8 PM,0.84,121.02,3630.6,3952.55,20.21,20.29,18.25,-0.12,decreased,AC health issue increased consumption,63,59,16.54,0.1,tired,64,"Usage rising, reduce load",Your pet is tired. A little saving today will help it recover.,0,Recovery Mode,2,2,sudden_spike|ac_fault,replace_ac_efficient_model|shift_usage_to_morning,Highest usage is during 6 PM-8 PM. Shift ironing or cooling to morning to save cost.,You can improve efficiency by cutting AC usage by 1 hour.,Your appliance mix is stable today.,0.32,0.28,0.24,0.24,0.3,0.42,0.69,1.08,0.93,0.63,0.59,0.68,0.78,0.71,0.6,0.62,0.81,0.97,1.42,1.47,1.35,0.92,0.78,0.44,1526,7.0,4,good,no,10.68,64.08,80.9,1,9.0,88,12.3,3,good,yes,1.08,6.48,8.2,0,1.6,1162,0.5,5,good,yes,0.58,3.48,4.4,0,2.2,143,6.0,4,good,yes,0.86,5.16,6.5,0,1.1
